dt,te_bps,cost_bps,seed,n_paths,steps,fee_bps,S0,K,T,r,sigma,option_type,timestamp
1,420.3003157953189,82.959408008434,42,10000,252,1.0,100.0,100.0,1.0,0.05,0.2,call,2025-08-12T22:10:17.223475
2,593.3210720891097,62.0848108156877,42,10000,252,1.0,100.0,100.0,1.0,0.05,0.2,call,2025-08-12T22:10:17.223475
5,918.4548641937743,31.90033019145284,42,10000,252,1.0,100.0,100.0,1.0,0.05,0.2,call,2025-08-12T22:10:17.223475
